apno,aptype,issued,stname,city,state,zip,applicant,licno,lictype,fees,value,plans,sbl,landuse,inspector,expdate,descofwork,location_1,latitude,longitude,council_district,police_district,census,census_block_group,census_block,neighborhood
REP19-9496002,REPAIR,9/26/19,473 COLVIN,BUFFALO,NY,14216,AVA ROOFING & SIDING,LTC12-10021580,LIGHT COMMERCIAL CONTRACTOR,110,16700,0,7.849E+14,220,ANDREW BLERSCH,3/26/20,"Complete tear off of existing roof, install 1/2 inch plywood, install 6 feet of ice shield, install synthetic paper, install 50 years of Architectural shingles Landmark Certainteed, install ridge vent and new soffits","(42.953667097354455, -78.8588683262867)",42.9536671,-78.85886833,DELAWARE,District D,49,1,1003,UNKNOWN
REP19-9495998,REPAIR,9/26/19,14 DUANE,BUFFALO,NY,14214,"DALEX CONSTR. INC  (HIC, LTC)",LTC11-538569,LIGHT COMMERCIAL CONTRACTOR,75,6502,0,8.927E+14,210,ANDREW BLERSCH,3/26/20,tear off and replacement on right side of main frame only.,"(42.940486277980945, -78.84340571259821)",42.94048628,-78.84340571,DELAWARE,District D,45,4,4017,UNKNOWN
REP19-9494929,REPAIR,9/25/19,1310 KENMORE,BUFFALO,NY,14216,ROY HAMILTON,LTC18-10043591,LIGHT COMMERCIAL CONTRACTOR,75,5750,0,7.839E+14,210,ANDREW BLERSCH,3/25/20,"Install Soffit Material on Front of House Only, Upper Peak Area and Lower Porch Area. Trim Fascia and Soffit On Lower Porch and Upper Peaks of House. trim out 2 Upper Windows on front of House Upper back Area.","(42.95863625036368, -78.86669860329172)",42.95863625,-78.8666986,DELAWARE,District D,51,3,3000,UNKNOWN
REP19-9494906,REPAIR,9/24/19,2 COLTON,BUFFALO,NY,14216,HEATHER COTTOM,LTC19-10050282,LIGHT COMMERCIAL CONTRACTOR,75,5500,0,7.873E+14,210,ANDREW BLERSCH,3/24/20,"Tear off entire back of house roof. Install lifetime pinnacle shingles, 130 mph wind resistance. Install all new OSB. Install 6ft ice shield. Install ice shield up walls, ice shield in valleys. Install all new step flashing. Install ridge vent end to end. Complete debris removal.","(42.94591335892689, -78.85591894549187)",42.94591336,-78.85591895,DELAWARE,District D,49,3,3005,UNKNOWN
REP19-9494852,REPAIR,9/24/19,331 CRESTWOOD,BUFFALO,NY,14216,DAWN   DUNKLE,HIC11-528541,HOME IMPROVEMENT CONTRACTOR,75,9500,0,7.849E+14,220,ANDREW BLERSCH,3/24/20,Tear off roof install new roof,"(42.953325903560895, -78.86030103316985)",42.9533259,-78.86030103,DELAWARE,District D,49,1,1004,UNKNOWN
REP19-9493808,REPAIR,9/23/19,169 COLVIN,BUFFALO,NY,14216,JASON REDDING,LTC14-10028478,LIGHT COMMERCIAL CONTRACTOR,110,16900,0,7.873E+14,220,ANDREW BLERSCH,3/23/20,"complete roof tear and and re-sheet 7/16 osb, 6' ice and water shield synthetic felt, vent boots, drip edge, architectural shingles and ridge vent","(42.94572903065905, -78.85775023195366)",42.94572903,-78.85775023,DELAWARE,District D,49,3,3005,UNKNOWN
REP19-9491708,REPAIR,9/24/19,106 WESLEY,BUFFALO,NY,14214,IVY LEA CONSTRUCTION INC,LTC11-518238,LIGHT COMMERCIAL CONTRACTOR,115,17416,0,7.876E+14,210,ANDREW BLERSCH,3/24/20,Rubber Roof,"(42.94569857240923, -78.8371426332994)",42.94569857,-78.83714263,DELAWARE,District D,45,5,5008,UNKNOWN
REP19-9488397,REPAIR,9/24/19,139 COLVIN,BUFFALO,NY,14216,JOSEPH BELLA III,LTC17-10041579,LIGHT COMMERCIAL CONTRACTOR,75,8267,0,7.873E+14,220,ANDREW BLERSCH,3/24/20,"Tear off and re-roof, tear off existing layers, install 6' ice and water shield, felt, drip edge, ride vent, flashings, and 50 year architectural shingles.","(42.94499738481227, -78.85739268594)",42.94499738,-78.85739269,DELAWARE,District D,49,3,3005,UNKNOWN
GS19-9494897,GARSHED,9/24/19,75 ADMIRAL,BUFFALO,NY,14216,KCM CUSTOM BUILT GARAGES,HIC11-517196,HOME IMPROVEMENT CONTRACTOR,100,22400,0,7.867E+14,210,ANDREW BLERSCH,3/24/20,REMOVE EXISTING GARAGE &nbsp;AND ERECT A 22' X 24' GARAGE AS PER SCANNED ATTACHMENTS AND CONTRACT FOR SINGLE FAMILY DWELLING. NEGATIVE ASBESTOS SURVEY IN ATTACHMENTS.&nbsp;,"(42.94977365204907, -78.84777378686869)",42.94977365,-78.84777379,DELAWARE,District D,48,2,2001,UNKNOWN
REP19-9496117,REPAIR,9/27/19,230 WALLACE,BUFFALO,NY,14216,BROAD SPECTRUM CONCRETE SPEC.,HIC11-518105,HOME IMPROVEMENT CONTRACTOR,50,12250,0,7.867E+14,210,ANDREW BLERSCH,3/27/20,"Replace driveway, sidewalk, apron, front entry pad","(42.949104077028615, -78.84679125350542)",42.94910408,-78.84679125,DELAWARE,District D,48,2,2001,UNKNOWN
REP19-9496094,REPAIR,9/27/19,242 NORWALK,BUFFALO,NY,14216,KEVIN JUNIOR TAYLOR,,,75,4500,0,7.857E+14,210,ANDREW BLERSCH,3/27/20,TEAR OFF /&nbsp;SHEATH / REROOF THE MAIN AND GARAGE LIKE IN KIND. DRYWALL REPAIR LIKE IN KIND&nbsp;UPPER BEDROOM WALL AS PER SCANNED OWNER AFFIDAVIT FOR A SINGLE FAMILY DWELLING.,"(42.951177056297745, -78.85447384395572)",42.95117706,-78.85447384,DELAWARE,District D,49,2,2001,UNKNOWN
REP19-9491569,REPAIR,9/27/19,15 HOMER,BUFFALO,NY,14216,ERIE CONSTRUCTION,HIC11-554155,HOME IMPROVEMENT CONTRACTOR,140,22525,0,7.863E+14,210,ANDREW BLERSCH,3/27/20,"Erie to tear off existing shingles and re-sheet entire home. Install snow and ice guard, 5 ply underlayment and new fiberglass roofing system. Includes all necessary metal accessories needed to complete the job in its entirety.","(42.94812734946627, -78.865845564225)",42.94812735,-78.86584556,DELAWARE,District D,51,4,4003,UNKNOWN
REP19-9487161,REPAIR,9/20/19,6 HOYER,BUFFALO,NY,14216,CHERYL GELLERT,,,125,15000,3,7.839E+14,210,ANDREW BLERSCH,3/20/20,*** PLANS *** TO RENOVATE SINGLE FAMILY DWELLING WITH UPDATED ELECTRICAL AND PLUMBING - WORK BY OWNER WITH LICENSED CONTRACTORS FOR ELECTRIC AND PLUMBING,"(42.95703020788858, -78.86741625392311)",42.95703021,-78.86741625,DELAWARE,District D,51,3,3003,UNKNOWN
